,id,regionname,countryname,projectstatusdisplay,last_stage_reached_name,project_name,pdo,impagency,cons_serv_reqd_ind,url,boardapprovaldate,closingdate,projectfinancialtype,curr_project_cost,curr_ibrd_commitment,curr_ida_commitment,curr_total_commitment,grantamt,borrower,lendinginstr,envassesmentcategorycode,esrc_ovrl_risk_rate,sector1,sector2,sector3,theme1,theme2
663,P179357,South Asia,Republic of India,Pipeline,Concept Review,Uttarakhand Climate Responsive Rainfed Farming Project,Improve resilience of production systems to make mountain farming emission competitive and profitable in selected microwatersheds of Uttarakhand,Watershed Management Directorate,Y,http://projects.worldbank.org/P179357/null?lang=en,,,,131000000,100000000,0,100000000,,Department of Economic Affairs,Investment Project Financing,,Moderate,,,,,
664,P179349,South Asia,Republic of India,Pipeline,,Electric Vehicle Operations and Lending for a Vibrant Ecosystem (EVOLVE),The project development objective is to foster a sustainable transition to electric vehicles in the two and three-wheeler segments,,,http://projects.worldbank.org/P179349/null?lang=en,,,,0,0,0,0,,,Investment Project Financing,,,,,,,
666,P179346,South Asia,Republic of India,Pipeline,,Unlocking e-bus market: Payment Security Mechanism,The project development objective is to accelerate the adoption of electric buses and increase commercial financing mobilization ine-buses.,,,http://projects.worldbank.org/P179346/null?lang=en,,,,100000000,80000000,0,80000000,,,Investment Project Financing,,,,,,,
670,P179337,South Asia,Republic of India,Active,Bank Approved,Assam State Secondary Healthcare Initiative for Service Delivery Transformation (ASSIST) Project,"To strengthen management capacity, access to, and quality of the secondary healthcare system in Assam.","Assam Health Infrastructure Development and Management Society (AHIDMS), Health and Family Welfare",,http://projects.worldbank.org/P179337/null?lang=en,2023-06-26T00:00:00Z,2029-11-30,Other,313830000,251030000,0,251030000,,India,Investment Project Financing,,Substantial,Health Facilities and Construction,Public Administration - Health,,,
674,P179323,South Asia,Republic of India,Pipeline,Concept Review,Electric Vehicle Operations and Lending for a Vibrant Ecosystem,The project development objective is to foster a sustainable transition to electric vehicles in the two and three-wheeler segments,Small Industries Development Bank of India (SIDBI),,http://projects.worldbank.org/P179323/null?lang=en,,,,1551000000,150000000,0,150000000,,Small Industries Development Bank of India (SIDBI),Investment Project Financing,,Substantial,,,,,
697,P179249,South Asia,Republic of India,Active,Bank Approved,Chhattisgarh: Accelerated Learning for a Knowledge-Economy,To improve the quality of school education & access to science & commerce senior secondary education,State of Chhattisgarh,,http://projects.worldbank.org/P179249/null?lang=en,2023-06-26T00:00:00Z,2028-09-29,Other,10322800000,300000000,0,300000000,,India,Program-for-Results Financing,,,Public Administration - Education,Secondary Education,Central Government (Central Agencies),,
714,P179189,South Asia,Republic of India,Pipeline,Begin Appraisal,Tamil Nadu Climate Resilient Urban Development Program,To improve access to climate resilient urban services and to strengthen urban governance in participating Urban Local Bodies.,"Tamil Nadu Urban Infrastructure Financial Services Limited, Tamil Nadu Municipal Administration & Water Supply Department",Y,http://projects.worldbank.org/P179189/null?lang=en,,,,300000000,300000000,0,300000000,,Ministry of Finance,Program-for-Results Financing,,Moderate,,,,,
717,P179178,South Asia,Republic of India,Pipeline,Concept Review,Program to Support Development of Renewable Bioenergy in India,The Project’s development objective is to increase the installed capacity of compressed biogas generation through the mobilization o f sustainable and affordable commercial financing.  ,Small Industries Development Bank of India (SIDBI),,http://projects.worldbank.org/P179178/null?lang=en,,,,1070000000,240000000,0,240000000,,,Investment Project Financing,,,,,,,
751,P179039,South Asia,Republic of India,Active,Bank Approved,Karnataka Sustainable Rural Water Supply Program,To increase access to safely managed drinking water and strengthen institutions for sustainable rural water service delivery in Karn ataka.,"Rural Drinking Water and Sanitation Department, Government of Karnataka, Rural Development and Panchayat Department, Government of Karnataka",N,http://projects.worldbank.org/P179039/null?lang=en,2023-03-28T00:00:00Z,2028-06-01,Other,1144910000,363000000,0,363000000,,India,Program-for-Results Financing,,Moderate,"Other Water Supply, Sanitation and Waste Management","Public Administration - Water, Sanitation and Waste Management",Water Supply,,
780,P178967,South Asia,Republic of India,Pipeline,Concept Review,"Meghalaya Multisectoral Project for Adolescent Wellbeing, Empowerment and Resilience (MPOWER)",To improve adolescents' human capital outcomes through coordinated multi-sectoral service delivery in Meghalaya.,Government of Meghalaya,TBD,http://projects.worldbank.org/P178967/null?lang=en,,,,62500000,50000000,0,50000000,,India,Investment Project Financing,,Moderate,,,,,
852,P178757,South Asia,Republic of India,Dropped,Concept Review,Unlocking Assam's Growth Potential,"The proposed Development Policy Loan supports government reforms to unlock the state of Assam's growth potential via (i) boosting ex ports, investment and jobs, (ii) strengthening climate resilience and green transitions (iii) unleashing agriculture and tourism pot ential.",State of Assam,,http://projects.worldbank.org/P178757/null?lang=en,,,,125000000,125000000,0,125000000,,India,Development Policy Lending,,,,,,,
916,P178581,South Asia,Republic of India,Pipeline,Begin Negotiation,Assam Resilient Rural Bridges Program,"The program development objective (PDO) is to build green, inclusive, and resilient connectivity in rural Assam and strengthen the A ssam Public Works and Roads Department’s roads and bridges management capability.","Public Works and Roads Department, Government of Assam",Y,http://projects.worldbank.org/P178581/null?lang=en,,,,587500000,470000000,0,470000000,,India,Program-for-Results Financing,,Substantial,,,,,
918,P178571,South Asia,Republic of India,Dropped,Concept Review,Strengthening Teaching-Learning and Results for States – Learning Enhancement and Acceleration during Pandemic (LEAP) program,The Project Development Objective (PDO) of the Operation is to improve the quality and governance of school education in selected st ates. The Project Development Objective (PDO) of the Operation is to improve the quali ty and governance of school education in selected states.,,,http://projects.worldbank.org/P178571/null?lang=en,,,,1000000000,1000000000,0,1000000000,,,Program-for-Results Financing,,,,,,,
955,P178418,South Asia,Republic of India,Active,Bank Approved,Tripura Rural Economic Growth and Service Delivery Project,To enhance connectivity and access to improved services and economic opportunities for tribal areas in Tripura,"Department of Tribal Welfare, Government of Tripura",,http://projects.worldbank.org/P178418/null?lang=en,2023-06-26T00:00:00Z,2029-06-30,Other,175000000,140000000,0,140000000,,India,Investment Project Financing,,Substantial,Workforce Development and Vocational Education,"Agricultural markets, commercialization and agri-business","Other Agriculture, Fishing and Forestry",,
973,P178329,South Asia,Republic of India,Active,Bank Approved,Second Tamil Nadu Housing Sector Strengthening Program Development Policy Loan,To support the Government of Tamil Nadu to increase access to and sustainability of affordable housing by deepening policy reforms a nd strengthening institutions.,"Housing and Urban Development Department of the Government of Tamil Nadu, Finance Department of the Government of Tamil Nadu",,http://projects.worldbank.org/P178329/null?lang=en,2022-06-30T00:00:00Z,2024-06-30,IBRD,190000000,190000000,0,190000000,,India,Development Policy Lending,,,Housing Construction,Other Public Administration,,,
994,P178254,South Asia,Republic of India,Pipeline,Concept Review,Kerala Climate Resilient Agri- Value Chain Modernization (KERA) Project,To promote the resilient commercialization of Kerala’s agriculture for smallholder farmers.,Ishita Roy,Y,http://projects.worldbank.org/P178254/null?lang=en,,,,285000000,200000000,0,200000000,,,Investment Project Financing,,Moderate,,,,,
995,P178253,South Asia,Republic of India,Pipeline,Concept Review,Uttar Pradesh Agriculture Growth and Rural Enterprise Ecosystem Strengthening Project,The proposed development objective is to develop inclusive and resilient agri value chains and enterprises targeting smallholders and agri-entrepreneurs in selected districts,"Department of Agriculture, Government of Uttar Pradesh",Y,http://projects.worldbank.org/P178253/null?lang=en,,,,500000000,350000000,0,350000000,,,Investment Project Financing,,Moderate,,,,,
996,P178252,South Asia,Republic of India,Active,Bank Approved,Systems Reform Endeavours for Transformed Health Achievement in Gujarat (SRESTHA-G),"To improve quality, equity, and governance of comprehensive primary health care, adolescent girl services and disease surveillance.",Government of Gujarat through Health and Family Welfare Department (HFWD),,http://projects.worldbank.org/P178252/null?lang=en,2022-09-21T00:00:00Z,2028-03-31,Other,12144000000,350000000,0,350000000,,India,Program-for-Results Financing,,,Health,Public Administration - Health,,,
1000,P178239,South Asia,Republic of India,Pipeline,Begin Negotiation,National Dairy Support Project (NDSP) - Phase 2,"The project development objective is to enhance competitiveness, foster inclusion, improve resilience and reduce the carbon footprint of milk value chains, focusing on smallholder dairy farmers in project areas.","Department of Animal Husbandry and Dairying, National Dairy Development Board",Y,http://projects.worldbank.org/P178239/null?lang=en,,,,174430000,77810000,0,77810000,,India,Investment Project Financing,,Moderate,,,,,
1023,P178146,South Asia,Republic of India,Active,Bank Approved,India's Enhanced Health Service Delivery Program,"To increase utilization of comprehensive primary health care services, improve quality of care, and strengthen governance of the hea lth sector in India.","Department of Health and Family Welfare, Ministry of Health and Family Welfare, Government of India, Ministry of Health and Family Welfare, Government of India",,http://projects.worldbank.org/P178146/null?lang=en,2022-06-28T00:00:00Z,2027-06-30,Other,1223000000,500000000,0,500000000,,India,Program-for-Results Financing,,,Public Administration - Health,Health,Health Facilities and Construction,,
1051,P178053,South Asia,Republic of India,Pipeline,Decision Meeting,Uttar Pradesh Clean Air Management Project,To strengthen systems for airshed management and contribute to the implementation of selected priority measures to reduce air pollution under UP’s Clean Air Action Program.,"Department of Environment, Forests, and Climate Change, State of Uttar Pradesh",Y,http://projects.worldbank.org/P178053/null?lang=en,,,,510000000,350000000,0,350000000,,Republic of India,Program-for-Results Financing,,Low,,,,,
1070,P177985,South Asia,Republic of India,Closed,Bank Approved,Catalyzing Private Financing for Sustainable Recovery and Growth,"The proposed development objective is to catalyze sustainable private sector financing for India’s economy, with the focus on infras tructure and MSMEs.","Department of Financial Services, Ministry of Finance.",,http://projects.worldbank.org/P177985/null?lang=en,2022-06-29T00:00:00Z,2023-06-30,IDA,750000000,667000000,83000000,750000000,,India,Development Policy Lending,,,Capital Markets,Other Non-bank Financial Institutions,Central Government (Central Agencies),,
1072,P177980,South Asia,Republic of India,Active,Bank Approved,Additional Financing for Resilient Kerala Program,"The objective of the Program is to enhance Kerala’s resilience against the impacts of climate change and natural disasters, includin g disease outbreaks and pandemics.",Government of Kerala,,http://projects.worldbank.org/P177980/null?lang=en,2023-06-16T00:00:00Z,,Other,430000000,150000000,0,150000000,,India,Program-for-Results Financing,,,Other Public Administration,"Other Water Supply, Sanitation and Waste Management",,,
1075,P177966,South Asia,Republic of India,Pipeline,Decision Meeting,Uttar Pradesh Knowledge-based Response to Schooling and Teaching,To enhance quality in primary education and access to quality education and market relevant skills for secondary students and youthin Uttar Pradesh.,"Basic Education Department, Government of Uttar Pradesh",,http://projects.worldbank.org/P177966/null?lang=en,,,,713000000,500000000,0,500000000,,India,Program-for-Results Financing,,Low,,,,,
1076,P177965,South Asia,Republic of India,Pipeline,Concept Review,Development of Applied Knowledge and Skills for Human-Development in Maharashtra- (DAKSH) Maharashtra,To enhance labor market readiness and productivity through skills development,,,http://projects.worldbank.org/P177965/null?lang=en,,,,1488570000,214230000,0,214230000,,,Program-for-Results Financing,,Low,,,,,
1077,P177964,South Asia,Republic of India,Pipeline,Concept Review,Chennai City Partnership - Urban Mobility and Spatial Development,The project seeks to strengthen institutions in their integrated delivery of sustainable spatial planning and urban mobility in CMA,tnidb,Y,http://projects.worldbank.org/P177964/null?lang=en,,,,573000000,400000000,0,400000000,,Government of Tamil Nadu,Investment Project Financing,,High,,,,,
1091,P177917,South Asia,Republic of India,Active,Bank Approved,Multidisciplinary Education and Research Improvement in Technical Education,"To improve quality, equity and governance in technical education in Select States and Participating Institutions.",Ministry of Education,Y,http://projects.worldbank.org/P177917/null?lang=en,2023-06-23T00:00:00Z,2028-12-29,Other,511000000,255500000,0,255500000,,India,Investment Project Financing,,Moderate,Tertiary Education,Public Administration - Education,,,
1093,P177915,South Asia,Republic of India,Active,Bank Approved,GUJARAT OUTCOMES FOR ACCELERATED LEARNING (GOAL) - ADDITIONAL FINANCING (AF),The Program Development Objective of the GOAL Program is to strengthen decentralized management for improved education outcomes in t he state of Gujarat,"Education Department, Government of Gujarat",,http://projects.worldbank.org/P177915/null?lang=en,2022-06-21T00:00:00Z,,Other,357100000,250000000,0,250000000,,"Government of Gujarat, Ministry of Finance",Program-for-Results Financing,,,Public Administration - Education,,,,
1104,P177876,South Asia,Republic of India,Active,Bank Approved,West Bengal Accelerated Development of Minor Irrigation Project - Phase II,The PDO is to augment water availability and strengthen water user associations for improved irrigated agriculture in Project Areas of West Bengal.,"DWRID, Government of West Bengal",,http://projects.worldbank.org/P177876/null?lang=en,2023-06-09T00:00:00Z,2029-06-29,,211000000,148000000,0,148000000,,India,Investment Project Financing,,Moderate,"Agricultural Extension, Research, and Other Support Activities",Irrigation and Drainage,"Public Administration - Agriculture, Fishing & Forestry",,
1108,P177856,South Asia,Republic of India,Active,Bank Approved,Rail Logistics Project,The project development objective is (i) to promote freight modal shift to safe and low carbon transport along the Eastern Dedicated  Freight Corridor and (ii) to strengthen Dedicated Freight Corridor Corporation of India Limited as a commercial organization to pro vide multimodal logistics services.,Dedicated Freight Corridor Corporation of India Limited,TBD,http://projects.worldbank.org/P177856/null?lang=en,2022-06-10T00:00:00Z,2027-06-30,IBRD,590000000,245000000,0,245000000,,Dedicated Freight Corridor Corporation of India Limited,Investment Project Financing,,High,Railways,Public Administration - Transportation,,,
1112,P177844,South Asia,Republic of India,Pipeline,Begin Negotiation,Program for Electricity Distribution Sector Reforms in India,The Program Development Objective is to improve the financial health and operational efficiency of select electricity distribution companies in India.,REC Limited,TBD,http://projects.worldbank.org/P177844/null?lang=en,,,,1210000000,497900000,0,497900000,,REC Limited,Program-for-Results Financing,,Low,,,,,
1129,P177799,South Asia,Republic of India,Pipeline,Concept Review,Gujarat Resilient Cities Partnership: Surat Resilience Enhancement Project,To enhance urban flood resilience along the Tapi River in Surat and strengthen the institutional and financial capacity of Surat Municipal Corporation.,"Surat Municipal Corporation, Tapi River Front Development Corporation Limited",Y,http://projects.worldbank.org/P177799/null?lang=en,,,,280100000,170000000,0,170000000,,India,Investment Project Financing,,High,,,,,
1159,P177671,South Asia,Republic of India,Active,Bank Approved,Animal Health System Support for One Health Program (AHSSOH),The Program Development Objective is to increase the quality and coverage of animal health services for livestock farmers and improv e One Health coordination in Participating States.,"Ministry of Fisheries, Animal Husbandry & Dairying, Department of Animal Husbandry & Dairying",,http://projects.worldbank.org/P177671/null?lang=en,2023-05-10T00:00:00Z,2027-11-30,,164000000,82000000,0,82000000,,India,Program-for-Results Financing,,,Livestock,,,,
1160,P177668,South Asia,Republic of India,Active,Bank Approved,India State Support Program for Road Safety,The Program Development Objective is to strengthen the capacity for results-based management and improve road safety outcomes in the  Participating States,"Ministry of Road, Transport and Highways (MORTH)",,http://projects.worldbank.org/P177668/null?lang=en,2022-06-24T00:00:00Z,2028-06-30,Other,500000000,250000000,0,250000000,,India,Program-for-Results Financing,,,Rural and Inter-Urban Roads,Other Transportation,Health,,
1161,P177666,South Asia,Republic of India,Pipeline,Concept Review,Delhi-Gurugram-SNB Regional Rapid Transport System (RRTS) Corridor,"The proposed Program's Development Objective is to provide safe, green, and sustainable accessibility along the Delhi-Gurugram-SNB corridor.",National Capital Region Transport Corporation,Y,http://projects.worldbank.org/P177666/null?lang=en,,,,5278000000,125000000,0,125000000,,Government of India,Investment Project Financing,,High,,,,,
1371,P176733,South Asia,Republic of India,Active,Bank Approved,IN: Manipur Infotech eNabled Development Project,"To promote digital skills and entrepreneurship, increase access to broadband in Project areas, and to enhance and secure the foundat ions for digital government in Manipur.",Cyber Corporation of Manipur Limited,,http://projects.worldbank.org/P176733/null?lang=en,2023-07-06T00:00:00Z,2028-09-30,Other,57500000,46000000,0,46000000,,India,Investment Project Financing,,Moderate,,,,,
1454,P176447,South Asia,Republic of India,Closed,Bank Approved,Creating a Coordinated and Responsive Indian Social Protection System (CCRISP),The  Development Objective of the proposed operation is to strengthen the capability of the state and national governments in India to respond to the needs of informal workers through a resilient and coordinated social protection system.,"Department of Economic Affairs (DEA), Ministry of Finance",,http://projects.worldbank.org/P176447/null?lang=en,2021-06-29T00:00:00Z,2022-12-31,IDA,500000000,387500000,112500000,500000000,,India,Development Policy Lending,,,Other Public Administration,ICT Services,Central Government (Central Agencies),,
1466,P176404,South Asia,Republic of India,Active,Bank Approved,"RIGHTS: Inclusion, Accessibility and Opportunities for Persons with Disabilities in Tamil Nadu","To strengthen the social protection systems and capability of the State of Tamil Nadu to promote inclusion, accessibility and opport unities for persons with disabilities.",Department for the Welfare of Differently Abled Persons (DfWDAP),Y,http://projects.worldbank.org/P176404/null?lang=en,2022-06-14T00:00:00Z,2028-06-30,Other,232000000,162000000,0,162000000,,India,Investment Project Financing,,Moderate,Social Protection,Public Administration - Social Protection,,,
1541,P176107,South Asia,Republic of India,Active,Bank Approved,Additional Financing - Karnataka Urban Water Supply Modernization Project,"<p>The Project Development Objective is to provide city-wide access to a continuous piped water supply in the eligible cities in the  state of Karnataka, and to strengthen service delivery arrangements at the city level.</p>",Karnataka Urban Infrastructure Development & Finance Corporation (KUIDFC),,http://projects.worldbank.org/P176107/null?lang=en,2021-12-21T00:00:00Z,,Other,221850000,150000000,0,150000000,,India,Investment Project Financing,,,Water Supply,Sanitation,"Public Administration - Water, Sanitation and Waste Management",,
1554,P176032,South Asia,Republic of India,Active,Bank Approved,Himachal Pradesh Power Sector Development Program,The Program Development Objective is to increase renewable energy penetration and strengthen the power sector institutions in Himach al Pradesh.,"Directorate of Energy, HimUrja, HPPCL (Himachal Pradesh Power Corporation Limited), HPSEBL (Himachal Pradesh State Electricity Board Limited), HPPTCL (Himachal Pradesh Power Transmission Corporation Limited), HPSLDC (Himachal Pradesh State Load Despatch Centre)",,http://projects.worldbank.org/P176032/null?lang=en,2023-06-27T00:00:00Z,2028-03-31,Other,250000000,200000000,0,200000000,,India,Program-for-Results Financing,,,Energy Transmission and Distribution,Other Energy and Extractives,Renewable Energy Hydro,,
1607,P175827,South Asia,Republic of India,Active,Bank Approved,FACILITATING SCHOOL TO WORK TRANSITION,The Project Development Objective (PDO) is to support the Central Board of Secondary Education to develop and provide relevant vocat ional skills across identified schools in India.,Central Board of Secondary Education,Y,http://projects.worldbank.org/P175827/null?lang=en,2021-06-02T00:00:00Z,2023-12-15,Grants,2000000,0,0,0,2000000,Central Board of Secondary Education  (CBSE),Investment Project Financing,,Moderate,Other Education,Workforce Development and Vocational Education,Public Administration - Education,,
1611,P175811,South Asia,Republic of India,Active,Bank Approved,Odisha State Capability and Resilient Growth Program,To protect poor and vulnerable households from the impact of economic and climate shocks in Odisha.,"Finance Department, Government of Odisha",,http://projects.worldbank.org/P175811/null?lang=en,2023-03-28T00:00:00Z,2028-04-26,Other,4310110000,100000000,0,100000000,,India,Program-for-Results Financing,,,Other Public Administration,ICT Services,Sub-National Government,,
1635,P175728,South Asia,Republic of India,Active,Bank Approved,Gujarat Resilient Cities Partnership: Ahmedabad City Resilience Project,"To strengthen institutional, financial and service delivery performance in Ahmedabad","Ahmedabad Municipal Corporation, Gujarat Urban Development Mission, Urban Development and Urban Housing Department",Y,http://projects.worldbank.org/P175728/null?lang=en,2022-11-22T00:00:00Z,2028-12-31,Other,400000000,280000000,0,280000000,,India,Investment Project Financing,,Substantial,Sub-National Government,,,,
1644,P175676,South Asia,Republic of India,Active,Bank Approved,PHSPP: Transforming India’s Public Health Systems for Pandemic Preparedness Program,The program development objective (PDO) is to strengthen pandemic preparedness and response systems and institutions in India.,Ministry of Health and Family Welfare,,http://projects.worldbank.org/P175676/null?lang=en,2022-06-28T00:00:00Z,2027-12-31,Other,1260000000,500000000,0,500000000,,India,Program-for-Results Financing,,,Health,,,,
1653,P175644,South Asia,Republic of India,Dropped,Concept Review,PM-ASBY: India's Enhanced Health Service Delivery Program,"To strengthen delivery of primary health care services, improve urban healthcare and enhance quality of care in select states in Ind ia","Department of Health and Family Welfare, Ministry of Health and Family Welfare, Government of India, National Health Mission (NHM), Ministry of Health and Family Welfare, Government of India",,http://projects.worldbank.org/P175644/null?lang=en,,,,15500000000,250000000,0,250000000,,"Department of Economic Affairs, Government of India",Program-for-Results Financing,,,,,,,
1717,P175261,South Asia,Republic of India,Active,Bank Approved,Punjab: Building Fiscal and Institutional Resilience,"The development objective is to strengthen institutional capabilities, accountability and management of public finances to support p ublic service delivery in Punjab.","Department of Finance, Government of Punjab",,http://projects.worldbank.org/P175261/null?lang=en,2022-09-19T00:00:00Z,2027-06-30,Other,215000000,150000000,0,150000000,,India,Program-for-Results Financing,,,Central Government (Central Agencies),Sub-National Government,Water Supply,,
1724,P175221,South Asia,Republic of India,Active,Bank Approved,Chennai City Partnership: Sustainable Urban Services Program,To strengthen institutions and improve quality and financial sustainability of selected urban services in the Chennai Metropolitan A rea.,State of Tamil Nadu,,http://projects.worldbank.org/P175221/null?lang=en,2021-09-30T00:00:00Z,2026-12-31,Other,2159000000,150000000,0,150000000,150000000,India,Program-for-Results Financing,,,Sanitation,Urban Transport,Water Supply,,
1792,P174830,South Asia,Republic of India,Dropped,Concept Review,India Comprehensive National Earthquake Risk Mitigation Project,To strengthen critical public infrastructure in high to very high-risk seismic zones in India and establish platforms to improve ove rall earthquake risk management.,National Disaster Management Authority,Y,http://projects.worldbank.org/P174830/null?lang=en,,,,500000000,250000000,0,250000000,,Department of Economic Affairs,Investment Project Financing,,Substantial,,,,,
